id,name,description,founder_email,funding_goal,amount_raised,status,created_at
635,Bala-Ganesan,"Sed error mollitia itaque accusantium porro. Iste esse dolorem ullam voluptate molestias minima. Nam amet deserunt ab.
Fugiat necessitatibus nemo cumque. Praesentium reprehenderit id.",hiteshsandal711@gmail.com,2975791.25,1900311.61,approved,2021-03-02
636,Nagarajan-Dhaliwal,Veritatis totam nemo iure ab consequuntur. Facilis nobis temporibus minima recusandae labore. Natus earum unde eos.,nilimachar670@gmail.com,1690286.66,1533726.69,pending,2024-07-09
637,Comar PLC,"Illum cum fuga. Vel deserunt nemo libero atque eveniet voluptas.
Officia ipsum et fugit similique reiciendis.",kamyanarain392@gmail.com,6646341.17,4688873.9,pending,2020-10-22
638,Agate PLC,"Quos cum fugit rem veritatis adipisci. Voluptas nam iste dolor.
Quisquam omnis blanditiis amet. Autem nobis officiis a natus. Cupiditate nihil nam veniam. Non temporibus vel laboriosam cupiditate.",gayathrijain857@gmail.com,5146635.93,4917053.87,approved,2022-09-05
639,Dave LLC,"Non quae ut aliquid inventore nobis. Magnam asperiores dolor alias quaerat et assumenda.
Vitae nam nisi explicabo. Ipsam similique ratione ipsum nam esse.",krishnagupta97@gmail.com,2420078.2,2195807.9,pending,2022-10-20
640,Bhattacharyya-Narayanan,Totam repudiandae veritatis iure harum vel. Perspiciatis accusamus veritatis suscipit necessitatibus fuga deleniti. Tempora eaque dolore sequi id voluptate.,jonathanbhatti315@gmail.com,2409842.46,1703149.67,pending,2024-07-22
641,"Bassi, Lala and Ghose","Fugit tempora iusto dolorum distinctio. Non voluptatem ad. Illo laboriosam ea sit asperiores.
Cum ipsam ipsa necessitatibus illo rem vitae. Atque voluptates occaecati minima esse ad fugiat amet.",ekantikasharma475@gmail.com,4328430.6,1593412.85,pending,2020-06-11
642,Maharaj-Chacko,"Nemo ipsam occaecati dolore illum deserunt. Dolorem quaerat sint. Ad ipsam repellat.
Nulla veniam quam commodi. Quasi distinctio illum nulla. Sunt laudantium repudiandae perspiciatis excepturi iure.",jagvikari301@gmail.com,8338043.05,651961.42,approved,2021-03-02
643,Bora LLC,"Laboriosam eum sunt ipsa maxime architecto earum. Iste totam quos laudantium maiores.
Similique praesentium occaecati culpa nihil corrupti tenetur.",wyattbuch843@gmail.com,4480817.3,3354650.73,rejected,2022-10-10
644,Ghosh-Dugar,Praesentium corrupti sapiente similique tempora deserunt ad vero. Maxime quasi aperiam dolorum adipisci mollitia. Voluptas enim non praesentium voluptates illum.,yochanasetty241@gmail.com,1993714.09,928852.53,approved,2020-11-06
645,Mannan Inc,Nulla porro sed quaerat dolor amet ipsum. Accusamus aliquid dolore modi aspernatur. Voluptates totam nisi consequuntur voluptate incidunt.,anitapanchal533@gmail.com,4508513.87,1418227.01,approved,2023-05-17
646,Solanki Group,"Repellat ipsam molestiae repudiandae.
Provident iusto dolor. Earum dolorem repellat impedit sequi quia itaque saepe. Nam in quo.",hredhaanprakash557@gmail.com,4454552.86,3880192.99,approved,2021-04-09
647,"Sule, Radhakrishnan and Aggarwal",Illum natus hic beatae. Reiciendis dolor sequi inventore magnam minima. Consequatur saepe voluptatum consequuntur laudantium corrupti ipsa. Mollitia assumenda in inventore ad.,vinayabhargava43@gmail.com,393773.29,305066.94,pending,2020-05-21
648,Tara Inc,Placeat veritatis fuga natus iusto autem minima eius. Dolor commodi dolor accusamus esse. Provident facere pariatur dolorem modi.,harshzachariah803@gmail.com,4891410.27,4367494.51,pending,2023-10-10
649,"Bhandari, Mitter and Batra",Quis quidem pariatur ex eius saepe recusandae.,wardasubramanian948@gmail.com,4538130.94,338639.29,approved,2021-01-16
650,"Rajagopal, Munshi and Sarin","Eaque veritatis quisquam eaque delectus magnam voluptatum.
Eius voluptate assumenda repellendus voluptas. Hic in pariatur reiciendis.",onkardhar293@gmail.com,6392412.73,366433.94,rejected,2020-05-22
651,"Lanka, Soman and Sastry","Optio at repudiandae consequuntur quidem consequatur.
Officia quasi eos ullam in. Hic alias numquam voluptas veritatis ea suscipit.",shauryagoswami577@gmail.com,8697912.19,1991735.96,rejected,2022-07-11
652,Palan-Kari,"Modi delectus explicabo aliquid provident sequi officiis. Cupiditate ex possimus cupiditate animi.
Hic sit non aperiam inventore optio. Provident corrupti atque facilis eum inventore.",hamsinisani808@gmail.com,7253130.06,6127329.62,approved,2020-05-03
653,Kothari-Bahl,Expedita quidem libero autem est corrupti earum non. Ab minima laboriosam porro. Beatae ratione impedit.,neelpal923@gmail.com,4462222.62,3216882.12,approved,2024-06-13
654,Ghosh PLC,"Nobis quas ex doloremque quas quam aliquid. Eligendi nesciunt excepturi in provident ipsum.
Excepturi sit dolorum sit. Dolorem et nam.",dominicprabhakar146@gmail.com,2786948.18,2611798.27,pending,2022-07-16
655,Khurana PLC,"Nostrum fugiat eligendi quo neque maiores. Temporibus consequatur dolorem nisi.
Cum occaecati placeat. Voluptate porro enim iste maxime. Nobis voluptas a neque cum quisquam.",widisharavi349@gmail.com,10146719.61,6229319.04,pending,2021-05-22
656,"Sule, Uppal and Rajagopalan",Exercitationem hic repudiandae odit ipsa. Tenetur illum facere ipsum delectus laudantium dolores.,tanmayichoudhury37@gmail.com,5118436.87,4311991.47,pending,2023-07-18
657,"Ramesh, Chana and Basu","Magnam inventore deserunt nemo nobis debitis. Fugit repellat tempora corporis aspernatur.
Voluptatibus neque alias. Magni corporis inventore dolorem earum.",fradominhas317@gmail.com,5027858.58,4166707.99,approved,2024-06-30
658,Pai-Vala,"Libero dicta dolores nisi. Totam architecto maxime animi provident quasi.
Veniam ab neque harum optio.",divyagola875@gmail.com,4951749.83,2156593.08,rejected,2022-05-25
659,Wable-Singh,Dignissimos sapiente debitis voluptatem exercitationem quisquam officiis. Quibusdam nihil expedita modi quasi quibusdam. Doloribus occaecati quisquam expedita.,parthkurian354@gmail.com,5396169.52,659170.38,approved,2023-02-02
660,Dugal-Halder,Necessitatibus similique dignissimos maiores. Asperiores eveniet harum. Facere soluta eos dolorum iusto dignissimos.,yaminimagar194@gmail.com,4711279.18,3496752.52,pending,2020-07-27
661,Deshpande Inc,Molestiae ut impedit eos voluptates dolorem voluptate. Libero esse inventore eos exercitationem corporis est corporis.,yashodharanarayan314@gmail.com,3852675.99,2816803.03,approved,2021-02-18
662,Srinivasan-Char,"Blanditiis maxime quaerat officiis.
Ipsa dolor eum labore voluptates molestiae minima veritatis. Facilis odio illo minus.",hiteshdubey983@gmail.com,3906282.12,2792581.64,pending,2020-09-27
663,Shanker-Vohra,"Atque esse nihil fuga. Provident odio saepe quidem. Expedita est fugit deleniti cumque.
Tempora consequatur et in. Quidem nulla cupiditate sapiente dolore.",advikavarty629@gmail.com,4934493.46,4524335.89,rejected,2022-08-28
664,"Walia, Nagar and Ben",Quidem itaque laborum eius. Optio porro dolorum odio harum. Rem magnam error.,nachiketdesai789@gmail.com,3913150.46,657.72,rejected,2020-10-25
665,Kaul-Bal,"Asperiores eos blanditiis nostrum reiciendis. Aliquam pariatur commodi. Ducimus nisi adipisci laboriosam harum laudantium eligendi nihil.
Labore incidunt harum exercitationem eos esse.",girikmani784@gmail.com,3574308.43,274272.83,approved,2021-05-22
666,Mitter Group,Harum nihil reprehenderit iure quisquam veniam amet. Neque excepturi facere aperiam nesciunt laudantium.,qadimrattan310@gmail.com,5212860.46,1150375.41,rejected,2023-03-19
667,Deol Ltd,"Deleniti error enim aliquid porro nemo temporibus. Laboriosam officiis odit maxime neque. Esse id nisi.
Possimus sint atque quidem. Iure labore veniam dolorum suscipit.",hemangbaral691@gmail.com,4490045.57,350003.09,pending,2022-11-17
668,Dugal-Chhabra,"Ut natus nam ex. Veritatis nam sint soluta.
Est iure provident quia perspiciatis sequi perferendis. Blanditiis quidem molestias labore temporibus temporibus.",loganthaman349@gmail.com,8007985.98,7739828.58,pending,2020-09-11
669,Nadig-Oza,Fuga recusandae mollitia totam occaecati. Vero magnam quibusdam molestiae optio consequatur sed sit. Amet error nobis hic laboriosam delectus.,sachibasak842@gmail.com,301939.62,105513.71,pending,2021-10-18
670,"Pradhan, Mistry and Goswami",Dignissimos cumque accusamus quam quis similique quo ab. Eligendi error vitae natus. Nesciunt dicta quia architecto quae.,chanchaldube993@gmail.com,7183013.7,3985432.36,pending,2023-10-31
671,"Brar, Behl and Shetty",Omnis placeat sunt. Possimus ea quae eum laboriosam voluptatibus soluta. Consectetur atque nihil ad aperiam. Accusamus accusamus totam placeat ullam accusamus autem accusantium.,rayaangour567@gmail.com,7492170.38,6323136.8,approved,2022-05-03
672,Konda PLC,Earum voluptas recusandae cupiditate aperiam nisi. Ipsum vel distinctio totam ullam quos accusamus.,ayaanbandi103@gmail.com,853219.54,373322.87,rejected,2021-12-27
673,"Chakraborty, Sethi and Mitter","Incidunt ea totam et sunt. Est eaque perferendis tempore praesentium. Animi harum quia ut nobis.
Impedit iste molestias id. Quibusdam provident consequatur doloribus sapiente inventore.",sarthakviswanathan642@gmail.com,4314624.81,2665138.91,rejected,2022-03-24
674,"Bhakta, Ray and Bhalla","Voluptatem necessitatibus praesentium ab odit tempore. Repellendus id rem veritatis. Sapiente cum corrupti.
Odit quo velit nostrum quae. Quam ipsum autem fuga nisi.",omajachaudhry122@gmail.com,4257118.27,1430376.73,approved,2021-10-23
675,"Dhingra, Krish and Kade","Odit esse sequi excepturi ad sapiente.
Mollitia maiores eveniet eligendi itaque. Autem alias aspernatur fugit delectus. Suscipit laborum provident molestiae distinctio illo.",avipall482@gmail.com,2184976.61,1700288.0,rejected,2023-11-01
676,Mittal LLC,Eius vitae quis nihil itaque magnam velit voluptatibus. Quos porro facere molestiae est.,advaysen76@gmail.com,3444366.62,1883702.63,approved,2024-12-24
677,Tella LLC,Pariatur velit asperiores vero. Nobis enim quam fugit non molestiae. Placeat consectetur nemo enim in quia.,barkhasaran419@gmail.com,2778848.31,942871.52,approved,2022-12-04
678,Mand Inc,Ipsa soluta similique occaecati impedit. Libero occaecati odit accusamus inventore. Inventore esse deleniti totam.,yaminiramachandran855@gmail.com,8504540.89,2006979.99,rejected,2022-09-17
679,Krishnan-Shah,"Molestias minus doloremque maiores laudantium numquam laudantium.
Provident dolore debitis dicta sint optio quo. Sunt inventore ea enim voluptates.",qabilmital239@gmail.com,6871356.79,3522295.62,pending,2023-04-30
680,"Narula, Pall and Dar","Corporis est unde eius tempore esse. Vero provident adipisci aspernatur iusto. Hic voluptate totam enim ex sapiente.
Sequi maiores nostrum tempora quas laudantium ipsa. Ducimus ipsa unde voluptate.",zayanlad424@gmail.com,7543110.19,7540957.53,pending,2022-03-16
681,"Madan, Raj and Apte","Rerum molestias sequi ullam. Deleniti perspiciatis ex cupiditate deleniti ipsa. Laborum ipsum sequi molestias.
Itaque id eaque magnam praesentium corporis. Deleniti voluptatum facere.",maanasnagarajan904@gmail.com,6443344.13,5952916.09,rejected,2020-08-07
682,"Malhotra, Munshi and Natt","Praesentium culpa ducimus quis cum qui quam. Repudiandae laboriosam ab. Fugiat numquam placeat.
Quos deserunt eos atque. Facilis eum quod tempore saepe soluta dolorem.",christophermaharaj678@gmail.com,2741896.46,2672273.25,rejected,2022-10-23
683,Nayak-Kibe,"Vitae pariatur ducimus laudantium. Libero iste qui necessitatibus.
Ratione similique excepturi sint aliquid veniam mollitia. Molestias occaecati quod laudantium laudantium.",hamsinibhat491@gmail.com,3950959.47,3233246.17,approved,2020-12-26
684,Vora-Balan,"Iure fuga odit consequuntur est mollitia. Incidunt ea saepe quae voluptate non placeat libero. Mollitia illum tempore ratione.
Alias animi fuga porro voluptatum rem.
Fugiat dicta in architecto.",hardikdevan328@gmail.com,5978749.12,2478446.21,rejected,2024-02-25
685,Gokhale Ltd,"Inventore optio alias provident.
Quisquam ab autem dicta.
Enim necessitatibus illo quod rem consequatur atque. Deleniti facere rerum quisquam sapiente perferendis velit labore.",zayansachar817@gmail.com,2555744.38,1808922.55,rejected,2020-01-20
686,Bhandari and Sons,Debitis quisquam provident porro. Aliquid quaerat quo commodi sit.,wakeetarandhawa319@gmail.com,6425996.86,1686940.0,pending,2022-09-15
687,Sama-Atwal,Enim fugit ratione ullam rerum facilis voluptatem. Porro amet culpa enim modi voluptatum numquam.,zayyanmand50@gmail.com,4519349.2,966374.14,pending,2024-02-26
688,Bora Inc,"Magni praesentium voluptas perferendis repellat aspernatur dolor. Saepe tempore placeat.
Molestias necessitatibus voluptate magnam distinctio quos debitis. Cupiditate quibusdam alias aliquid.",widishagala334@gmail.com,4250358.38,3655239.27,pending,2024-12-29
689,Sharma Group,Quaerat quisquam porro qui fugiat. Placeat ipsum deleniti minus expedita nesciunt porro eligendi.,nandinipanchal480@gmail.com,6421919.94,1400435.69,approved,2024-01-17
690,Sarin Ltd,Quasi a illum quia quaerat aliquam quae. A alias impedit mollitia magni ipsum atque.,chakrikaraja383@gmail.com,5888526.62,4669726.25,rejected,2020-08-15
691,"Lanka, Prakash and Bassi",Perferendis repudiandae qui qui tenetur magni. Similique sit reiciendis eum. Voluptate debitis placeat.,qabilchoudhury556@gmail.com,4278067.67,2328046.14,pending,2023-05-12
692,Solanki Group,"Ipsum at quos non minus delectus. Quam dolorum velit labore temporibus modi.
Architecto voluptatem dolores vel a doloribus. Possimus iure assumenda. Tempore voluptatibus amet.",dhruvbadal64@gmail.com,7318659.61,6456834.17,pending,2020-06-17
693,Johal-Yadav,Ipsum exercitationem cupiditate cumque fugiat iure soluta temporibus. Soluta at recusandae assumenda doloremque quae. Doloribus quam beatae hic accusantium.,jagratibhatti176@gmail.com,2837873.34,1037499.46,pending,2021-07-26
694,"Pradhan, Sen and Ganesh",Nemo inventore recusandae. Ea dolore rem optio quia consectetur debitis. Saepe praesentium voluptates facere fugiat corporis non.,kritikarana704@gmail.com,6231871.21,1739502.12,pending,2022-09-24
695,"Ganesan, Sharma and Dayal","Minima incidunt ullam nisi. Officiis veritatis sapiente.
Esse inventore ut officiis nisi. Itaque veniam itaque.",daminikrishna983@gmail.com,6186202.52,1976182.33,approved,2022-06-28
696,Savant and Sons,Officia harum ipsa quisquam doloremque officia sit reiciendis. Molestiae officia reprehenderit asperiores quos veritatis consequatur laudantium. Nesciunt officiis eveniet aperiam.,ishaanmuni404@gmail.com,4380907.12,77554.97,pending,2023-02-02
697,"Dey, Wason and Sahni","Quod vero alias laudantium. Dolorem ducimus quas quisquam suscipit unde eum.
Doloribus voluptate quam quidem neque illo ipsum. Quis omnis quia.",lavanyagoel135@gmail.com,5652266.04,2052847.47,rejected,2022-02-20
698,"Kaul, Nagar and Chacko",Quas pariatur assumenda. Quam natus molestiae laudantium porro quidem. Dignissimos iure dolorem praesentium facere ipsa odit.,varenyakadakia704@gmail.com,2497772.85,1678174.02,pending,2023-01-10
699,"Vora, Basu and Balan",Dolor vel illum reprehenderit soluta. Perferendis ea sed consequuntur velit qui quidem. Ea atque ipsum doloribus eius dolor quas.,ekapadzachariah236@gmail.com,6848054.04,2648366.17,rejected,2021-09-19
700,"Shetty, Sahota and Kala","Aliquam cumque voluptate distinctio accusamus occaecati. Mollitia hic eius quasi consectetur corrupti quae.
Pariatur et neque officia. Velit animi autem earum. Error totam quae fugit reiciendis.",amaraoommen815@gmail.com,4630195.73,3293302.07,rejected,2022-08-28
701,Rattan LLC,Quisquam vero praesentium doloribus laborum. Cum incidunt dignissimos accusamus unde officiis optio minima. Amet eaque harum et.,poojagour714@gmail.com,3954553.96,1854189.67,pending,2022-02-10
702,Karpe-Kulkarni,"Vel omnis labore laboriosam natus. Voluptatem provident ratione sunt tenetur.
Quis fugit consequuntur atque quibusdam facere ex. Quo ipsam eaque dolore laborum dicta.",pranitraj379@gmail.com,7098018.45,2433831.03,approved,2022-05-01
703,Narasimhan Inc,Magni ratione numquam autem rem eligendi iure. Soluta deserunt ex nostrum voluptatum beatae enim explicabo. Occaecati laboriosam corporis voluptatem.,amaratalwar923@gmail.com,3591312.62,474633.22,approved,2022-10-24
704,Venkatesh-Chaudry,Voluptates quia rerum dolor. Consectetur dignissimos perspiciatis exercitationem maxime saepe animi.,ekanshkara536@gmail.com,2183077.41,2040842.55,rejected,2023-05-26
705,"Shenoy, Karpe and Arora","Labore beatae consequatur esse veniam sequi numquam. Eaque nemo corporis voluptatibus temporibus.
Labore eligendi repudiandae dignissimos. Et laboriosam voluptas aut sunt exercitationem.",jeevikaparikh617@gmail.com,1886741.65,1038014.2,approved,2021-10-23
706,"Vaidya, Zachariah and Dua",Atque iure nulla iure repellat facilis. Dignissimos quam sint ipsam quam sapiente impedit. Delectus iste eius voluptatem unde aliquid non.,tarahegde140@gmail.com,6212019.9,1411196.75,approved,2020-12-17
707,Behl-Peri,"Eligendi sed voluptates quis aliquid corporis. Pariatur quidem ipsam cum velit. Natus laboriosam temporibus hic voluptatibus iure nobis.
Beatae dolores suscipit non.",wriddhishdixit829@gmail.com,2439141.3,1885330.08,pending,2020-04-23
708,Bora Group,Veniam deserunt quae provident excepturi itaque. Veniam ex voluptate sapiente voluptates.,tristanhalder720@gmail.com,8509588.36,1396927.92,rejected,2023-12-30
709,Prashad-Rai,"Sapiente numquam repellendus porro. Ex ex repellendus.
Numquam modi quia voluptatem dolores. Ullam inventore aperiam. Quaerat fuga assumenda nobis iste.",harshilwali727@gmail.com,836141.18,500887.09,approved,2023-07-19
710,Subramaniam-Mann,Deserunt ducimus voluptate reiciendis eveniet ducimus placeat. Illo nesciunt laborum cupiditate quibusdam nemo nesciunt.,fariqkrish894@gmail.com,8392912.74,2894304.69,rejected,2020-01-13
711,Dhingra-Tak,"Sint nemo itaque voluptatum incidunt ea vitae. Alias sunt aliquid. Ipsam veritatis totam autem eligendi nobis.
Corporis corrupti laborum eaque illo. Porro facilis facere non ea esse.",wahabbassi247@gmail.com,5422034.93,5155497.9,approved,2024-01-28
712,"Hora, Mittal and Dixit","Nobis eligendi nobis in.
Autem dicta aut consectetur quidem reprehenderit. Totam nulla consequuntur fugit quibusdam soluta delectus.",akshaybhavsar685@gmail.com,4806573.78,331376.06,rejected,2020-07-07
713,"Hora, Subramanian and Thaman","Ea necessitatibus molestias ratione molestias. Nulla inventore veniam nemo eveniet.
Eaque temporibus et vitae eligendi veritatis. Quasi asperiores delectus. Reiciendis nam corrupti magni.",kairanganathan611@gmail.com,3910161.83,2071689.21,rejected,2023-12-21
714,Date-Saran,"Veniam explicabo eum laboriosam.
Reiciendis dicta dolorum voluptatem eveniet accusamus. Illo mollitia animi ad libero.",ekapadjoshi655@gmail.com,5798272.23,856593.32,approved,2023-04-18
715,Ganesh PLC,"Tempora libero expedita dolore in. Quae deserunt debitis quis facilis asperiores minus.
Repellat nostrum voluptate ea accusamus porro. Ad nulla quam temporibus culpa veniam.",fariqsha757@gmail.com,4924730.6,1781044.64,pending,2021-11-17
716,Bajwa LLC,"Eum exercitationem voluptatem rem. Porro incidunt similique quas assumenda possimus.
Sequi minima inventore nam. Repellendus dignissimos ex.",odikanath962@gmail.com,7206603.76,4254874.35,approved,2021-11-09
717,Wali-Vaidya,Deleniti optio officia officiis odit autem suscipit. Nisi nam ipsam vel necessitatibus molestiae laudantium.,gangakurian762@gmail.com,5228455.3,1001179.82,rejected,2024-02-06
718,"Madan, Tandon and Kala",Repudiandae doloremque neque nesciunt tempore occaecati. Quidem aliquid magni cum. Suscipit amet ad exercitationem fugiat minus. Laudantium minima illum aliquid incidunt.,onisundaram349@gmail.com,5300603.52,2451167.21,pending,2023-06-08
719,Tak-De,Molestiae iste molestiae porro. Ea nam beatae maxime minus.,oviyachaudhuri608@gmail.com,4272775.58,979410.2,rejected,2021-02-24
720,Dube-Upadhyay,Fugiat perferendis quos cumque doloribus voluptates officiis. Dolor maiores distinctio ex maiores consequuntur.,diyaarya613@gmail.com,4886108.75,465251.4,pending,2024-04-12
721,Mitra-Sarma,"Tempore delectus adipisci odio omnis. Incidunt quod exercitationem itaque.
Veritatis molestias cumque. Sunt iure fugit. Soluta magni libero velit animi beatae.",rajatawali103@gmail.com,5615603.54,4522749.41,pending,2020-07-31
722,Sheth and Sons,Optio voluptas quas voluptates recusandae. Fugiat sed natus tempore facere corporis sint expedita. Mollitia unde eos ea molestias nihil.,aachalbawa6@gmail.com,1579663.21,173909.85,pending,2024-07-20
723,Shenoy Ltd,"Nisi iure atque voluptatibus dolor quibusdam. At unde earum distinctio corrupti omnis. Eveniet voluptatibus eaque.
Natus nisi distinctio eaque aliquam. Est minima ea debitis eius.",nathanielkaul740@gmail.com,2303629.16,538301.22,rejected,2022-11-14
724,"Sabharwal, Dayal and Chandran","Voluptatibus maiores ipsum similique. Facilis eius porro aperiam omnis.
Eos voluptatibus doloribus accusamus. Alias aut distinctio quasi est eveniet. Quae explicabo voluptatibus nulla accusantium.",chavvibala829@gmail.com,6486528.19,2348429.61,pending,2020-02-01
725,Dash-Narasimhan,"Quaerat eligendi omnis architecto sed. Et veniam officia. Quaerat ducimus asperiores.
Adipisci totam libero. Quos voluptatibus rem enim. Repellat voluptatibus nisi quas suscipit eius.",diptanayar740@gmail.com,5341730.88,1034679.28,approved,2020-10-09
726,"Tank, Sachdeva and Mitra",Ipsum sed officiis nesciunt consequuntur neque sequi. Iusto cum consequuntur ad. Laboriosam itaque expedita esse alias fugiat magnam. Porro repellat ducimus fugiat omnis dolorum dolores.,victornagy43@gmail.com,4632033.33,1146411.67,approved,2020-03-05
727,Patla-Chawla,Fugiat facilis nam molestias deserunt eveniet officia. Eos praesentium enim soluta quasi. Beatae repudiandae ab pariatur.,eiravatichowdhury712@gmail.com,5036867.87,4309979.27,rejected,2023-02-26
728,Mammen-Zacharia,Provident vero aliquam porro dignissimos aliquam necessitatibus. Quo soluta ipsam modi. Voluptatum aliquid possimus asperiores ullam tempore et commodi.,jyotibose363@gmail.com,5695163.41,1015571.41,pending,2022-07-10
729,Wali-Lall,"Cumque at eaque. Itaque repellendus eveniet veritatis quia. Dolore commodi distinctio voluptate eligendi nulla.
Ex odio quis dolor. Impedit repellat adipisci iusto.",nitarasankaran658@gmail.com,3920480.64,691031.87,approved,2021-08-01
730,Chaudhry-Pandit,Quae repellendus ut perferendis natus quasi. Quod autem est porro impedit impedit tempora soluta.,chandanipau283@gmail.com,3443390.55,1661389.46,rejected,2024-02-21
731,Iyer-Mody,Nisi voluptatem commodi. Officia nesciunt earum rem totam inventore. Animi soluta dolores nostrum asperiores hic similique commodi.,zilmilganesh282@gmail.com,5391690.51,2555467.73,rejected,2021-06-13
732,"Patil, Chandra and Sangha","Consequatur quasi eligendi ipsum est et. At facilis debitis saepe ipsum iusto. Fugiat fugiat aliquid.
Optio magnam enim quidem.",vyanjanayadav547@gmail.com,3043254.44,1742787.18,pending,2022-08-25
733,Patla Group,"Laudantium non quisquam quia enim quisquam assumenda. Temporibus dolores facere est laborum ex reprehenderit.
Cum totam quis earum repellat.",shauryahegde831@gmail.com,5816505.51,967332.55,pending,2024-04-19
734,"Kata, Sane and Reddy",Enim quia perferendis quasi repellat corporis. Qui fugiat soluta deleniti eos nemo.,ryanparikh591@gmail.com,1594832.79,520088.86,rejected,2022-12-30
735,"Cheema, Saini and Patla",Debitis non soluta dicta aspernatur quisquam. Temporibus maiores perspiciatis molestiae quibusdam omnis optio. Culpa doloribus id maiores illum. Enim vel dolorum.,lakshithegde889@gmail.com,7058311.27,5837270.47,rejected,2023-08-01
736,Keer PLC,Provident iure minus debitis vitae dolorem. Ex ipsum nesciunt ullam magnam labore laborum eveniet. Incidunt eius repellendus illo.,chamanchoudhry887@gmail.com,5945194.96,4529231.9,pending,2024-04-30
737,Dash and Sons,Nisi dignissimos voluptatem eius adipisci excepturi illum similique. Et quis officia voluptatem suscipit nemo cumque. Dolor nulla assumenda.,falgunibava210@gmail.com,5512059.47,2914087.96,rejected,2021-12-11
738,"Dayal, Bhatti and Prakash","Itaque libero laborum natus praesentium. Atque saepe quos praesentium consectetur. Eaque nemo mollitia adipisci quo itaque.
Magnam ut minus et iusto nihil possimus. Quidem mollitia velit fugiat.",vihaankalita53@gmail.com,6965381.97,1386195.64,rejected,2022-10-16
739,Setty Ltd,Exercitationem soluta dignissimos sint exercitationem. Placeat earum mollitia eveniet perferendis molestiae veritatis dicta. Voluptas numquam quia dolorem nobis odit cupiditate.,nirjanarain439@gmail.com,8330948.89,8309658.96,pending,2024-05-24
740,"Biswas, Din and Virk","Inventore odit similique accusamus accusantium ex. Ad nobis ullam. Repudiandae dolor perferendis repellendus.
Ipsam molestiae error debitis mollitia rem eligendi.",pranavtank82@gmail.com,7028740.13,738051.34,approved,2023-04-03
741,Rajan-Sathe,Quam sed illum numquam dolores aspernatur a. Veritatis dolores repellendus voluptatem asperiores minus.,triyatripathi401@gmail.com,1318251.54,977490.75,pending,2024-01-15
742,Bobal Ltd,Dolorum quaerat a excepturi possimus vel dicta. Voluptate temporibus aliquam omnis dicta. Sed maxime aspernatur nostrum ducimus asperiores.,aradhanabrahmbhatt479@gmail.com,2440846.07,1290154.21,approved,2023-12-10
743,"Chacko, Krish and Bahl",Praesentium reprehenderit quod quibusdam labore. Nemo incidunt quis quisquam.,rachanaraghavan70@gmail.com,3750362.84,3288749.72,approved,2024-05-20
744,Bava-Dua,"Itaque rerum beatae incidunt eius saepe delectus culpa. Molestiae dolorem porro dolore nihil placeat.
Eius maxime velit officiis inventore. Corporis debitis voluptate. Vel fugiat expedita omnis.",yashodaapte693@gmail.com,5052182.1,433234.15,approved,2024-03-11
745,Kar-Bhargava,Quisquam eos rem nostrum sed. Natus voluptates rerum quo. Perferendis fugit cumque hic suscipit soluta ducimus.,gautamkamdar639@gmail.com,6035318.04,2392121.09,rejected,2022-06-25
746,"Bir, Roy and Jani",Quo reprehenderit debitis repudiandae. Nisi molestiae illum error iusto. Dolore voluptates ut unde nesciunt fugiat.,nicholaskapur839@gmail.com,3548512.37,2033380.02,approved,2023-07-03
747,Bhavsar LLC,Quae dolores cupiditate iure quo. Ea ipsam itaque aperiam impedit blanditiis vel cumque.,ucchalkar563@gmail.com,5373533.53,3998013.08,pending,2022-04-11
748,Krishna and Sons,Similique quo mollitia ut cum. Vero odio itaque ratione quam. Reprehenderit culpa maiores sapiente atque aspernatur illum deleniti.,waidabera184@gmail.com,3489234.14,1685302.59,pending,2024-04-29
749,"Saraf, Sundaram and Raj",Recusandae rerum repudiandae aut voluptatum animi. Ad ipsam ipsa totam reprehenderit voluptatem aperiam. Voluptas nam recusandae sint vel atque.,rudrasethi31@gmail.com,3776964.39,675738.27,approved,2022-05-30
750,Chana and Sons,Tempora similique fugiat vitae odit quibusdam. Blanditiis reiciendis ipsam sit dolorem asperiores. Ut labore aspernatur itaque in impedit. Perspiciatis a quod doloribus id velit.,hiteshkrishnan977@gmail.com,2186677.81,1976568.33,pending,2023-04-23
751,Khalsa-Gill,Alias quos minima sint ad voluptas. Quia eius neque possimus quae cupiditate exercitationem veritatis. Minus illum debitis illo veniam quisquam accusamus.,pavanidhar675@gmail.com,3153533.51,351081.92,rejected,2024-05-10
752,Balakrishnan-Gaba,Corrupti quo dicta assumenda molestias illum nesciunt. Optio id in reiciendis iure esse delectus.,ojasvibhavsar677@gmail.com,2296630.79,1119865.49,rejected,2020-01-21
753,Divan Inc,"Iure fuga odio excepturi omnis consequuntur repellendus. Accusamus repellat tempore labore quod delectus.
Repellendus impedit iste. Saepe officiis sit cum tempore nostrum tempora repellendus.",krishagaba663@gmail.com,3048253.49,1093070.36,pending,2020-06-17
754,Pau-Varkey,"Error itaque impedit magni. Laborum voluptatum nam voluptas.
Fugiat labore voluptates totam nemo. Eum ex ducimus pariatur quia perspiciatis odit.",atharvvaidya146@gmail.com,7107283.59,710735.85,approved,2023-09-18
